,is_sound,onset,duration
0,False,0.0,23.506
1,True,23.506,0.3
2,False,23.806,0.00999999999999801
3,True,23.816,0.24
4,False,24.055999999999997,3.552713678800501e-15
5,True,24.056,0.37
6,False,24.426000000000002,0.1599999999999966
7,True,24.586,0.3999999999999999
8,False,24.985999999999997,0.15000000000000213
9,True,25.136,0.4100000000000001
10,False,25.546,0.0
11,True,25.546,0.1299999999999999
12,False,25.676,0.0
13,True,25.676,0.0899999999999998
14,False,25.766,0.0
15,True,25.766,0.27
16,False,26.035999999999998,0.010000000000001563
17,True,26.046,0.31
18,False,26.355999999999998,3.552713678800501e-15
19,True,26.356,0.2399999999999997
20,False,26.596,0.010000000000001563
21,True,26.606,0.1799999999999997
22,False,26.786,0.0
23,True,26.786,0.0700000000000002
24,False,26.856,0.0
25,True,26.856,0.29
26,False,27.146,0.0
27,True,27.146,0.29
28,False,27.436,0.010000000000001563
29,True,27.446,0.1499999999999999
30,False,27.596,0.0
31,True,27.596,0.2800000000000002
32,False,27.876,0.0
33,True,27.876,0.08
34,False,27.956,0.0
35,True,27.956,0.0899999999999998
36,False,28.046,0.0
37,True,28.046,0.4199999999999999
38,False,28.465999999999998,3.552713678800501e-15
39,True,28.466,0.1399999999999996
40,False,28.606,0.0
41,True,28.606,0.0900000000000007
42,False,28.696,1.0599999999999987
43,True,29.756,0.1399999999999996
44,False,29.896,0.0
45,True,29.896,0.3900000000000005
46,False,30.286,0.0
47,True,30.286,0.4199999999999999
48,False,30.706,0.0
49,True,30.706,0.2099999999999999
50,False,30.916,0.0
51,True,30.916,0.1200000000000001
52,False,31.036,0.0
53,True,31.036,0.4100000000000001
54,False,31.446,0.029999999999997584
55,True,31.476,0.160000000000001
56,False,31.636,0.0
57,True,31.636,0.1599999999999983
58,False,31.795999999999996,3.552713678800501e-15
59,True,31.796,0.0900000000000016
60,False,31.886,0.0
61,True,31.886,0.2399999999999984
62,False,32.126,0.0
63,True,32.126,0.200000000000001
64,False,32.326,0.00999999999999801
65,True,32.336,0.1999999999999993
66,False,32.536,0.0
67,True,32.536,0.1100000000000012
68,False,32.646,0.0
69,True,32.646,0.3900000000000005
70,False,33.036,0.0
71,True,33.036,0.1699999999999999
72,False,33.206,0.0
73,True,33.206,0.3500000000000014
74,False,33.556000000000004,-7.105427357601002e-15
75,True,33.556,0.1399999999999988
76,False,33.696,0.0
77,True,33.696,0.3900000000000005
78,False,34.086,0.1600000000000037
79,True,34.246,0.1999999999999993
80,False,34.446,0.0
81,True,34.446,0.1699999999999999
82,False,34.616,0.0
83,True,34.616,0.3000000000000007
84,False,34.916,0.0
85,True,34.916,0.1600000000000001
86,False,35.07599999999999,0.3200000000000074
87,True,35.396,0.1100000000000012
88,False,35.506,0.0
89,True,35.506,0.4700000000000006
90,False,35.976,0.00999999999999801
91,True,35.986,0.2699999999999996
92,False,36.256,0.0
93,True,36.256,0.1300000000000007
94,False,36.386,0.0
95,True,36.386,0.5399999999999991
96,False,36.926,0.0
97,True,36.926,0.3200000000000003
98,False,37.246,0.00999999999999801
99,True,37.256,0.1999999999999993
100,False,37.456,0.0
101,True,37.456,0.5899999999999999
102,False,38.04600000000001,0.01999999999999602
103,True,38.066,0.5200000000000014
104,False,38.586000000000006,0.21999999999999176
105,True,38.806,0.2100000000000008
106,False,39.016,0.0
107,True,39.016,0.1999999999999993
108,False,39.215999999999994,7.105427357601002e-15
109,True,39.216,0.5799999999999983
110,False,39.796,0.29999999999999716
111,True,40.096,0.7300000000000004
112,False,40.82599999999999,0.2600000000000051
113,True,41.086,0.5300000000000011
114,False,41.616,0.259999999999998
115,True,41.876,0.2300000000000004
116,False,42.105999999999995,7.105427357601002e-15
117,True,42.106,0.6099999999999994
118,False,42.716,0.00999999999999801
119,True,42.726,0.1600000000000001
120,False,42.885999999999996,7.105427357601002e-15
121,True,42.886,0.2800000000000011
122,False,43.166000000000004,-7.105427357601002e-15
123,True,43.166,0.1400000000000005
124,False,43.306,0.0
125,True,43.306,0.6099999999999994
126,False,43.916,0.020000000000003126
127,True,43.936,0.1900000000000012
128,False,44.126,0.0
129,True,44.126,0.3499999999999978
130,False,44.47599999999999,0.010000000000005116
131,True,44.486,0.2300000000000004
132,False,44.715999999999994,7.105427357601002e-15
133,True,44.716,0.1799999999999997
134,False,44.896,0.0
135,True,44.896,0.120000000000001
136,False,45.016000000000005,-7.105427357601002e-15
137,True,45.016,0.2199999999999988
138,False,45.236,0.0
139,True,45.236,1.0700000000000005
140,False,46.306,0.0
141,True,46.306,0.120000000000001
142,False,46.426,0.46999999999999886
143,True,46.896,0.3399999999999998
144,False,47.236,0.010000000000005116
145,True,47.246,0.1700000000000017
146,False,47.416000000000004,-7.105427357601002e-15
147,True,47.416,0.3999999999999986
148,False,47.815999999999995,7.105427357601002e-15
149,True,47.816,0.1900000000000012
150,False,48.006,0.0
151,True,48.006,0.120000000000001
152,False,48.126000000000005,0.00999999999999801
153,True,48.136,0.3300000000000018
154,False,48.466,0.0
155,True,48.466,0.2899999999999991
156,False,48.756,0.0
157,True,48.756,0.7199999999999989
158,False,49.476,1.5200000000000031
159,True,50.996,0.3300000000000018
160,False,51.326,0.00999999999999801
161,True,51.336,0.6000000000000014
162,False,51.936,0.0
163,True,51.936,0.7600000000000016
164,False,52.696,0.240000000000002
165,True,52.936,0.3500000000000014
166,False,53.286,0.0
167,True,53.286,0.5899999999999999
168,False,53.876000000000005,-7.105427357601002e-15
169,True,53.876,0.1600000000000001
170,False,54.035999999999994,0.5200000000000031
171,True,54.556,0.1400000000000005
