,score,time,label,n,subject,contrast
0,0.1265185656585453,-0.2,t0_s0_h0,327,01,wordfreq
1,0.029480849179263073,-0.19,t0_s0_h0,327,01,wordfreq
2,0.009618290375948874,-0.18,t0_s0_h0,327,01,wordfreq
3,0.08202802828133457,-0.17,t0_s0_h0,327,01,wordfreq
4,-0.06757466947726262,-0.16,t0_s0_h0,327,01,wordfreq
5,-0.031460632905618735,-0.15,t0_s0_h0,327,01,wordfreq
6,-0.01749085393831706,-0.14,t0_s0_h0,327,01,wordfreq
7,0.003100703607935872,-0.13,t0_s0_h0,327,01,wordfreq
8,-0.16189338991571536,-0.12,t0_s0_h0,327,01,wordfreq
9,0.02299752754227492,-0.11,t0_s0_h0,327,01,wordfreq
10,0.008196106302315669,-0.1,t0_s0_h0,327,01,wordfreq
11,-0.05781772421325166,-0.09,t0_s0_h0,327,01,wordfreq
12,0.01825665675734164,-0.08,t0_s0_h0,327,01,wordfreq
13,0.029366770175285193,-0.07,t0_s0_h0,327,01,wordfreq
14,0.0525659519186156,-0.06,t0_s0_h0,327,01,wordfreq
15,0.10493534642684453,-0.05,t0_s0_h0,327,01,wordfreq
16,-0.112915111870264,-0.04,t0_s0_h0,327,01,wordfreq
17,-0.030859422490518287,-0.03,t0_s0_h0,327,01,wordfreq
18,-0.0978574718759453,-0.02,t0_s0_h0,327,01,wordfreq
19,-0.05455691618514894,-0.01,t0_s0_h0,327,01,wordfreq
20,-0.11478842775582075,0.0,t0_s0_h0,327,01,wordfreq
21,-0.11706953865078068,0.01,t0_s0_h0,327,01,wordfreq
22,-0.025586171873005447,0.02,t0_s0_h0,327,01,wordfreq
23,0.015454052699171793,0.03,t0_s0_h0,327,01,wordfreq
24,0.012105913647314953,0.04,t0_s0_h0,327,01,wordfreq
25,-0.040866503059160016,0.05,t0_s0_h0,327,01,wordfreq
26,0.06249850805728735,0.06,t0_s0_h0,327,01,wordfreq
27,0.11117747212531431,0.07,t0_s0_h0,327,01,wordfreq
28,-0.008216651003828023,0.08,t0_s0_h0,327,01,wordfreq
29,0.0345757220598184,0.09,t0_s0_h0,327,01,wordfreq
30,0.07077161049951547,0.1,t0_s0_h0,327,01,wordfreq
31,-0.0480398665149207,0.11,t0_s0_h0,327,01,wordfreq
32,0.035532130615707945,0.12,t0_s0_h0,327,01,wordfreq
33,0.05888557399026745,0.13,t0_s0_h0,327,01,wordfreq
34,0.03356929120494704,0.14,t0_s0_h0,327,01,wordfreq
35,0.009483206937521669,0.15,t0_s0_h0,327,01,wordfreq
36,0.037848291334397995,0.16,t0_s0_h0,327,01,wordfreq
37,0.0075550697064317735,0.17,t0_s0_h0,327,01,wordfreq
38,0.013552743133868362,0.18,t0_s0_h0,327,01,wordfreq
39,0.10798310511583724,0.19,t0_s0_h0,327,01,wordfreq
40,0.09150441065230956,0.2,t0_s0_h0,327,01,wordfreq
41,-0.05420640383778017,0.21,t0_s0_h0,327,01,wordfreq
42,0.00422677379040433,0.22,t0_s0_h0,327,01,wordfreq
43,0.03156985016233418,0.23,t0_s0_h0,327,01,wordfreq
44,0.0811081744181225,0.24,t0_s0_h0,327,01,wordfreq
45,0.014052807234088548,0.25,t0_s0_h0,327,01,wordfreq
46,0.0686978740764718,0.26,t0_s0_h0,327,01,wordfreq
47,0.03678650134341403,0.27,t0_s0_h0,327,01,wordfreq
48,0.03902397159830095,0.28,t0_s0_h0,327,01,wordfreq
49,-0.0902570907119439,0.29,t0_s0_h0,327,01,wordfreq
50,0.060617129881568615,0.3,t0_s0_h0,327,01,wordfreq
51,0.02827955543359036,0.31,t0_s0_h0,327,01,wordfreq
52,-0.11289913694861096,0.32,t0_s0_h0,327,01,wordfreq
53,0.01417361401609969,0.33,t0_s0_h0,327,01,wordfreq
54,0.04310881282021434,0.34,t0_s0_h0,327,01,wordfreq
55,0.019199911841167674,0.35,t0_s0_h0,327,01,wordfreq
56,0.03379606474100658,0.36,t0_s0_h0,327,01,wordfreq
57,0.0510427296662051,0.37,t0_s0_h0,327,01,wordfreq
58,0.02448031004507166,0.38,t0_s0_h0,327,01,wordfreq
59,0.046025510747281076,0.39,t0_s0_h0,327,01,wordfreq
60,-0.07361314128349418,0.4,t0_s0_h0,327,01,wordfreq
61,-0.018093654537647143,0.41,t0_s0_h0,327,01,wordfreq
62,0.019234186967235875,0.42,t0_s0_h0,327,01,wordfreq
63,-0.011632100698714846,0.43,t0_s0_h0,327,01,wordfreq
64,0.0893037922267746,0.44,t0_s0_h0,327,01,wordfreq
65,0.1163117307152269,0.45,t0_s0_h0,327,01,wordfreq
66,0.11883319046177152,0.46,t0_s0_h0,327,01,wordfreq
67,0.049212892799231675,0.47,t0_s0_h0,327,01,wordfreq
68,0.03556702813234707,0.48,t0_s0_h0,327,01,wordfreq
69,0.016542444188130223,0.49,t0_s0_h0,327,01,wordfreq
70,0.010375899584770221,0.5,t0_s0_h0,327,01,wordfreq
71,0.061131641861390466,0.51,t0_s0_h0,327,01,wordfreq
72,0.12334841827764567,0.52,t0_s0_h0,327,01,wordfreq
73,0.018674547283895396,0.53,t0_s0_h0,327,01,wordfreq
74,0.08128230459853159,0.54,t0_s0_h0,327,01,wordfreq
75,0.1333260839219627,0.55,t0_s0_h0,327,01,wordfreq
76,0.03471054404967324,0.56,t0_s0_h0,327,01,wordfreq
77,-0.04857036871072571,0.57,t0_s0_h0,327,01,wordfreq
78,0.05292922547904696,0.58,t0_s0_h0,327,01,wordfreq
79,0.09822881592828586,0.59,t0_s0_h0,327,01,wordfreq
80,0.015036446508535778,0.6,t0_s0_h0,327,01,wordfreq
81,0.03358579859803336,-0.2,t0_s0_h1,341,01,wordfreq
82,-0.10940955863398727,-0.19,t0_s0_h1,341,01,wordfreq
83,-0.0064878140064231525,-0.18,t0_s0_h1,341,01,wordfreq
84,0.04129216343000587,-0.17,t0_s0_h1,341,01,wordfreq
85,0.014940470079504466,-0.16,t0_s0_h1,341,01,wordfreq
86,-0.05637120449076335,-0.15,t0_s0_h1,341,01,wordfreq
87,0.06812594436765404,-0.14,t0_s0_h1,341,01,wordfreq
88,-0.0031045574826764847,-0.13,t0_s0_h1,341,01,wordfreq
89,0.007651496638622864,-0.12,t0_s0_h1,341,01,wordfreq
90,0.025529023509528258,-0.11,t0_s0_h1,341,01,wordfreq
91,0.01428699406900031,-0.1,t0_s0_h1,341,01,wordfreq
92,0.03170005482204412,-0.09,t0_s0_h1,341,01,wordfreq
93,0.014150346174301843,-0.08,t0_s0_h1,341,01,wordfreq
94,0.013527152677887861,-0.07,t0_s0_h1,341,01,wordfreq
95,-0.05983817940956964,-0.06,t0_s0_h1,341,01,wordfreq
96,0.07019683309432918,-0.05,t0_s0_h1,341,01,wordfreq
97,-0.09849398945640986,-0.04,t0_s0_h1,341,01,wordfreq
98,-0.018007861269409554,-0.03,t0_s0_h1,341,01,wordfreq
99,-0.11031266704165799,-0.02,t0_s0_h1,341,01,wordfreq
100,-0.0335864254372304,-0.01,t0_s0_h1,341,01,wordfreq
101,-0.08711733127952688,0.0,t0_s0_h1,341,01,wordfreq
102,0.036060450150044665,0.01,t0_s0_h1,341,01,wordfreq
103,0.02502630087184342,0.02,t0_s0_h1,341,01,wordfreq
104,0.04473597804151239,0.03,t0_s0_h1,341,01,wordfreq
